ds,yhat,yhat_lower,yhat_upper,model,type
2015-06-01,108.49116404409554,103.23903496542108,113.4161329313041,Prophet,forecast
2015-07-01,111.20713330806446,106.24908921396404,115.94652330303876,Prophet,forecast
2015-08-01,111.2677614985633,106.42235839219052,115.8879175010391,Prophet,forecast
2015-09-01,109.81942126838364,104.89431571443718,114.54782311610604,Prophet,forecast
2015-10-01,111.60629186436394,106.97520365446177,116.36577907819816,Prophet,forecast
2015-11-01,113.05778790774356,108.11305568893836,118.04744475202736,Prophet,forecast
2015-12-01,115.16445567801252,109.9946204456736,119.93041944389611,Prophet,forecast
2016-01-01,112.51336993885032,107.82810636382496,117.23390232753977,Prophet,forecast
2016-02-01,113.90421845381924,108.92332237184677,118.64919005670056,Prophet,forecast
2016-03-01,114.91410620762444,110.1433058040691,119.97294021316962,Prophet,forecast
2016-04-01,115.05368322847352,110.01247381746052,119.60366557101024,Prophet,forecast
2016-05-01,113.26492839549796,108.37969453490528,117.83719687420158,Prophet,forecast
2016-06-01,111.1655862316017,105.9642023761748,116.2299873428946,Prophet,forecast
2016-07-01,111.95792590067684,107.37714451564898,116.76749032941176,Prophet,forecast
2016-08-01,112.646313191284,108.07048616674894,117.78769875098811,Prophet,forecast
2016-09-01,110.89600689827988,105.7454970677896,115.9334603868422,Prophet,forecast
2016-10-01,113.56357425757162,109.21139373364296,118.39286246113792,Prophet,forecast
2016-11-01,115.417369838543,110.52020663855446,120.05685025455868,Prophet,forecast
2016-12-01,114.7894132730427,109.7322464628936,119.27341401097055,Prophet,forecast
2017-01-01,115.6285384539905,111.01125963848176,120.7242579475747,Prophet,forecast
2017-02-01,115.65438946151284,110.85029668244805,120.20026557798836,Prophet,forecast
2017-03-01,116.46247644387122,111.7574468465581,121.15762694732368,Prophet,forecast
2017-04-01,117.20537568870108,112.08565791475462,122.34882388984585,Prophet,forecast
2017-05-01,114.43963431743374,109.1736748574624,119.12334448845937,Prophet,forecast
2017-06-01,112.3035849516796,107.3491545179856,116.9746706258395,Prophet,forecast
2017-07-01,113.7367183249203,108.9173633298161,118.48467587158328,Prophet,forecast
2017-08-01,114.22329201476924,109.0225869335518,118.72829751793162,Prophet,forecast
2017-09-01,112.575989388139,107.37924226379084,117.17235524968008,Prophet,forecast
2017-10-01,114.95176700815976,109.87210509245472,119.75248764129248,Prophet,forecast
2017-11-01,116.66011946540318,111.897461150476,121.33597455209284,Prophet,forecast
2017-12-01,116.95492578778511,112.04678944972648,121.86365356363446,Prophet,forecast
2018-01-01,116.63414855870404,111.81553911587834,121.62532702035922,Prophet,forecast
2018-02-01,117.10041324872034,112.24370113545817,121.80733369481143,Prophet,forecast
2018-03-01,118.01912713668948,113.06245610231464,122.76978631895808,Prophet,forecast
2018-04-01,119.35045055631667,114.52697807180417,123.94214453916008,Prophet,forecast
2018-05-01,115.60170245344725,110.45146746313284,120.435099500154,Prophet,forecast
2018-06-01,113.44817235972256,108.7404118048269,118.39154140329885,Prophet,forecast
2018-07-01,115.52275590212044,110.38666002656008,120.2579345036792,Prophet,forecast
2018-08-01,115.80005585448882,110.86812292862416,120.5461451036902,Prophet,forecast
2018-09-01,114.2534106306193,109.887198256948,119.58711741955024,Prophet,forecast
2018-10-01,116.33551049140192,111.6391071885778,120.94943446411304,Prophet,forecast
2018-11-01,117.90975602713854,113.30633115313232,122.54659750998074,Prophet,forecast
2018-12-01,119.11633676641772,114.30431990244256,124.1009052507474,Prophet,forecast
2019-01-01,117.63182736501778,112.79551077528764,122.39404871332786,Prophet,forecast
2019-02-01,118.55317550402611,113.6735871615523,123.20556509499156,Prophet,forecast
2019-03-01,119.58383619755664,114.76864422571629,124.53453806218783,Prophet,forecast
2019-04-01,121.48827414890442,116.61793210594122,126.19785505526951,Prophet,forecast
2019-05-01,116.75154883108698,111.8759570723962,121.61882182844808,Prophet,forecast
2019-06-01,114.59984285705572,109.697120571747,119.62430856209994,Prophet,forecast
2019-07-01,117.31581212102496,112.54400184660952,122.2155009682546,Prophet,forecast
2019-08-01,117.37644031152676,112.53434388419488,121.91309552203,Prophet,forecast
2019-09-01,115.92810008134592,111.26312114314678,121.11432061800647,Prophet,forecast
2019-10-01,117.71497067732378,112.78453965487894,122.66277577486076,Prophet,forecast
2019-11-01,119.16646672070544,114.47687215547468,123.74856883186789,Prophet,forecast
2019-12-01,121.27313449097451,116.4876037960028,126.5851901972314,Prophet,forecast
2020-01-01,118.6220487518096,113.74582508860912,123.35718166300556,Prophet,forecast
2020-02-01,120.25526812135944,115.1569312094244,125.42246455497148,Prophet,forecast
2020-03-01,121.49188990042045,116.6646442524912,126.22029866440796,Prophet,forecast
2020-04-01,121.87383777585302,117.46010037230192,126.640920246069,Prophet,forecast
2020-05-01,120.31963538279189,115.53456585335168,125.28795603736124,Prophet,forecast
2020-06-01,118.46266407347449,113.47717970742175,123.3183838205035,Prophet,forecast
2020-07-01,119.4895561824697,114.97604202229796,123.94238592353436,Prophet,forecast
2020-08-01,120.4203143276568,115.8045613839413,125.50136531765962,Prophet,forecast
2020-09-01,118.91237888923446,113.86971736888653,123.85238941409966,Prophet,forecast
2020-10-01,121.81449868844312,116.6847113126064,126.70178050430404,Prophet,forecast
2020-11-01,123.91066512399624,119.15808575421472,128.73269473944825,Prophet,forecast
2020-12-01,123.51726099841994,118.88691465804357,128.53424471975765,Prophet,forecast
2021-01-01,124.59875703394064,119.8522484163562,129.11448375208158,Prophet,forecast
2021-02-01,124.86697889604608,119.80680885488935,129.8539506959182,Prophet,forecast
2021-03-01,125.89398148899645,121.31736984956036,130.8703115055688,Prophet,forecast
2021-04-01,126.87925158840306,121.81295073415092,131.69097228446049,Prophet,forecast
2021-05-01,124.34806265706128,119.47112719172335,128.99947866236406,Prophet,forecast
2021-06-01,122.4543841458759,117.9739401933078,127.29458636837802,Prophet,forecast
2021-07-01,124.1220699590404,119.20335721408436,129.24273864269037,Prophet,forecast
2021-08-01,124.8510145034716,119.98260167731628,129.1882308700019,Prophet,forecast
2021-09-01,123.44608273142586,118.4707842352098,128.3751977236238,Prophet,forecast
2021-10-01,126.0564127913612,121.37782160677976,130.93860731937886,Prophet,forecast
2021-11-01,128.0071361031851,123.05110765608424,133.05476602238016,Prophet,forecast
2021-12-01,128.5364948654856,123.74268661045907,133.2673612694436,Prophet,forecast
2022-01-01,128.4580884909806,123.43280863698432,133.18389078772566,Prophet,forecast
2022-02-01,129.16672403558158,124.4824038034959,133.78529678192862,Prophet,forecast
2022-03-01,130.30435353413858,125.57505463301167,134.83416849761124,Prophet,forecast
2022-04-01,131.8780478083512,126.7749609572247,136.8549987578671,Prophet,forecast
2022-05-01,128.36385214539692,123.4723466909569,133.18886292492232,Prophet,forecast
2022-06-01,126.45269290625976,121.56982891593202,131.19581557400795,Prophet,forecast
2022-07-01,128.76182888856948,123.76828199865952,133.30195275937226,Prophet,forecast
2022-08-01,129.28149969552064,124.2597736567793,134.09382402563773,Prophet,forecast
2022-09-01,127.97722532623033,123.09034544856532,132.92417693810293,Prophet,forecast
2022-10-01,130.29387762693247,125.75510233673606,135.01820776647853,Prophet,forecast
2022-11-01,132.11049401724813,127.37934581235362,136.87997880864737,Prophet,forecast
2022-12-01,133.5516271964416,128.71388350613577,138.33047393571255,Prophet,forecast
2023-01-01,132.30948864962247,127.71278032947558,137.06751423019097,Prophet,forecast
2023-02-01,133.47320764321444,128.8809703271357,138.17542034795474,Prophet,forecast
2023-03-01,134.7227839473375,129.70918712000258,139.48778451640655,Prophet,forecast
2023-04-01,136.86959275326504,132.1837964732479,141.5353099186848,Prophet,forecast
2023-05-01,132.36741987536482,127.46302288533238,137.00312980273088,Prophet,forecast
2023-06-01,130.45808475591363,125.29584367215732,135.45494885437756,Prophet,forecast
2023-07-01,133.4086064598029,128.3148910604938,138.47277110127672,Prophet,forecast
2023-08-01,133.71160550488472,128.81661771199066,138.68380602717846,Prophet,forecast
2023-09-01,132.50563612928482,127.63317251045972,137.1257355401424,Prophet,forecast
2023-10-01,134.52705916518337,129.70874632157933,139.00095679843216,Prophet,forecast
2023-11-01,136.2209260631416,131.5640423757807,141.0433988788278,Prophet,forecast
2023-12-01,138.56214627332648,133.23850708888375,143.46468908888684,Prophet,forecast
2024-01-01,136.1534313887527,131.343885301928,140.8127692145214,Prophet,forecast
2024-02-01,137.7866507582987,133.1414238776971,142.65105635702665,Prophet,forecast
2024-03-01,139.0232725373567,134.1633397738099,144.09956266619997,Prophet,forecast
2024-04-01,139.4052204127858,134.52490754473024,144.33690708627236,Prophet,forecast
2024-05-01,137.85101801972988,133.30120419353423,142.99252712037028,Prophet,forecast
2024-06-01,135.99404671041253,130.93534371687758,140.45386375933973,Prophet,forecast
2024-07-01,137.0209388194058,132.36737765865777,141.66130898625414,Prophet,forecast
2024-08-01,137.9516969645953,133.13175716295845,143.11930432066492,Prophet,forecast
2024-09-01,136.44376152617113,131.62965909785612,141.32683139023365,Prophet,forecast
2024-10-01,139.34588132538263,134.3181655567426,144.13990016247462,Prophet,forecast
2024-11-01,141.44204776093372,136.54698978091878,146.3799423034439,Prophet,forecast
2024-12-01,141.04864363535026,136.43107140709142,146.1591650937552,Prophet,forecast
2025-01-01,142.13013967088153,137.15428317009585,147.13351918652194,Prophet,forecast
2025-02-01,142.3983615329837,137.5435433224721,147.3696261400327,Prophet,forecast
2025-03-01,143.42536412593313,138.83504941934507,148.1015620432248,Prophet,forecast
2025-04-01,144.4106342253387,139.61804890283796,149.1573742428513,Prophet,forecast
2025-05-01,141.87944529399527,137.04267709955354,146.5322692857614,Prophet,forecast
2025-06-01,139.98576678281876,135.39220797199494,144.745186605819,Prophet,forecast
2025-07-01,141.65345259597723,136.5318424212258,146.38866815652358,Prophet,forecast
2025-08-01,142.38239714041185,137.41336299076374,147.24893654049382,Prophet,forecast
2025-09-01,140.97746536836078,136.00723824837848,145.49549732559984,Prophet,forecast
2025-10-01,143.58779542829947,138.83586382890277,148.5989792409597,Prophet,forecast
2025-11-01,145.53851874012284,140.07930515755612,150.09661684444163,Prophet,forecast
2025-12-01,146.06787750242432,141.27846404907137,151.03100884668413,Prophet,forecast
2025-12-31,143.82089754731055,138.8471577792924,148.6182619520638,Prophet,forecast
2026-01-31,146.4352393733487,142.0067458144874,151.37265285630255,Prophet,forecast
2026-02-28,148.02400874299116,143.0863935803039,153.164696487655,Prophet,forecast
2026-03-31,151.7945753600542,147.27775163250587,156.79444297068216,Prophet,forecast
2026-04-30,144.30926266299727,139.82646318529368,149.32380652812677,Prophet,forecast
2026-05-31,142.52154580387173,137.5842832518295,147.37163720114503,Prophet,forecast
2026-06-30,147.38858528115713,142.44048963390733,152.0903988947801,Prophet,forecast
2026-07-31,146.99799482940853,141.88810584173817,151.60547908376577,Prophet,forecast
2026-08-31,146.07285929353807,141.27564503449818,151.1303260482949,Prophet,forecast
2026-09-30,147.20265978140176,142.48451982487424,152.21410507074918,Prophet,forecast
2026-10-31,148.5963855761195,143.30757602875556,153.8781869693287,Prophet,forecast
2026-11-30,153.56101616251723,148.65922602914182,158.69892524467213,Prophet,forecast
2026-12-31,147.64542441480447,142.70364944978837,153.0253349451991,Prophet,forecast
2027-01-31,150.77076535239007,146.07537138971065,155.8578458515954,Prophet,forecast
2027-02-28,152.47219458901176,147.38555373995624,157.2249288702873,Prophet,forecast
2027-03-31,156.7510403859065,151.6172817005834,161.61038560734372,Prophet,forecast
2027-04-30,148.26851250790628,143.2891818330408,153.75544924268635,Prophet,forecast
2027-05-31,146.5599993176692,141.26195403404623,151.54881423878868,Prophet,forecast
2027-06-30,152.06090659324644,146.54890029017133,157.34836978631895,Prophet,forecast
2027-07-31,151.42493130290595,146.01585566656797,156.45618351202884,Prophet,forecast
2027-08-31,150.58875506476147,145.55667208273485,155.57908661446464,Prophet,forecast
2027-09-30,151.42049415274712,146.2204659907996,157.06738792051007,Prophet,forecast
2027-10-31,152.73678082148658,147.26879958046513,157.97297262717137,Prophet,forecast
2027-11-30,158.54811411611126,153.29478451662035,164.26212652962522,Prophet,forecast
2027-12-31,151.4644995703407,145.9979402479902,156.93214237849094,Prophet,forecast
2028-01-31,155.11401097560224,149.34759439496335,160.90677674567308,Prophet,forecast
2028-02-29,156.68042000858512,150.82006275798773,162.0225830266797,Prophet,forecast
2028-03-31,159.38464786517287,153.29512378763548,165.3524485543487,Prophet,forecast
2028-04-30,153.89058540844803,148.29858953228492,159.882997066433,Prophet,forecast
2028-05-31,152.00242656925695,146.20426250407547,157.70994484985147,Prophet,forecast
2028-06-30,155.5935453253389,149.12281492397696,161.48376095350642,Prophet,forecast
2028-07-31,155.6725494998543,149.29400239396952,161.49518042502814,Prophet,forecast
2028-08-31,154.56253293358225,148.4962398040391,160.770186759927,Prophet,forecast
2028-09-30,156.2875125193922,149.74409409410967,162.55559902946592,Prophet,forecast
2028-10-31,157.86999189616182,151.2170643660126,164.20977678100448,Prophet,forecast
2028-11-30,161.09893011762836,155.04481466956705,167.1894197982224,Prophet,forecast
2028-12-31,157.52178482340665,151.18969226612626,164.52073351338848,Prophet,forecast
2029-01-31,159.63864508648916,152.70930983473104,166.1373787404417,Prophet,forecast
2029-02-28,161.11424835865833,154.14075494795924,167.49315871975307,Prophet,forecast
2029-03-31,164.35983998883128,157.45432762393602,170.63472096063302,Prophet,forecast
2029-04-30,157.87104070055278,150.68276846341158,164.61606758921312,Prophet,forecast
2029-05-31,156.02342637830662,147.82366228308675,162.68711188284624,Prophet,forecast
2029-06-30,160.2536269943077,151.79106228318128,167.31237214384686,Prophet,forecast
2029-07-31,160.10140103896907,152.07655417836412,167.87281018112594,Prophet,forecast
2029-08-31,159.0849915639521,150.9421500547937,166.57932572505743,Prophet,forecast
2029-09-30,160.51265114819702,152.68618979071414,168.08781918508848,Prophet,forecast
2029-10-31,161.99509296257102,153.64520823937357,169.6288121642307,Prophet,forecast
2029-11-30,166.09871641523978,157.97510600800408,174.04698412102186,Prophet,forecast
2029-12-31,161.35228018424166,152.52588703760256,169.03860278660443,Prophet,forecast
2030-01-31,163.96662201028155,154.8610166259769,171.79943181416138,Prophet,forecast
2030-02-28,165.55539137992778,156.17343598670985,173.60260728855494,Prophet,forecast
2030-03-31,169.3259579969894,160.08932645372508,177.69345534922934,Prophet,forecast
2030-04-30,161.8406452999276,152.50305961932804,170.94305267460564,Prophet,forecast
2030-05-31,160.052928440809,149.95979333800486,168.85449914729844,Prophet,forecast
2030-06-30,164.91996791809493,153.73717805692763,173.69028073128666,Prophet,forecast
2030-07-31,164.52937746634862,153.4079153481523,173.64526720929362,Prophet,forecast
2030-08-31,163.60424193047717,152.80193577184824,172.77644396016316,Prophet,forecast
2030-09-30,164.73404241833742,153.35919428069622,174.27350707710167,Prophet,forecast
2030-10-31,166.1277682130562,154.67932324103722,176.4468629897249,Prophet,forecast
2030-11-30,171.0923987994479,159.15024672267373,181.7972317059964,Prophet,forecast
