Year,Month,Province,Production_e3m3d
2000,January,Alberta,387095
2000,January,British Columbia,54389
2000,January,Canada Total,463099
2000,January,NWT & Yukon,1783
2000,January,New Brunswick,0
2000,January,Nova Scotia,952
2000,January,Ontario,1632
2000,January,Saskatchewan,17248
2000,February,Alberta,391075
2000,February,British Columbia,55006
2000,February,Canada Total,470450
2000,February,NWT & Yukon,1787
2000,February,New Brunswick,0
2000,February,Nova Scotia,3786
2000,February,Ontario,1590
2000,February,Saskatchewan,17207
2000,March,Alberta,389689
2000,March,British Columbia,56918
2000,March,Canada Total,474403
2000,March,NWT & Yukon,1339
2000,March,New Brunswick,0
2000,March,Nova Scotia,7665
2000,March,Ontario,1587
2000,March,Saskatchewan,17206
2000,April,Alberta,391383
2000,April,British Columbia,60462
2000,April,Canada Total,481287
2000,April,NWT & Yukon,1858
2000,April,New Brunswick,0
2000,April,Nova Scotia,8990
2000,April,Ontario,1583
2000,April,Saskatchewan,17010
2000,May,Alberta,380662
2000,May,British Columbia,60711
2000,May,Canada Total,472605
2000,May,NWT & Yukon,3848
2000,May,New Brunswick,0
2000,May,Nova Scotia,9287
2000,May,Ontario,1552
2000,May,Saskatchewan,16545
2000,June,Alberta,373913
2000,June,British Columbia,58995
2000,June,Canada Total,465688
2000,June,NWT & Yukon,3810
2000,June,New Brunswick,0
2000,June,Nova Scotia,10377
2000,June,Ontario,1610
2000,June,Saskatchewan,16983
2000,July,Alberta,386005
2000,July,British Columbia,52181
2000,July,Canada Total,469649
2000,July,NWT & Yukon,1854
2000,July,New Brunswick,0
2000,July,Nova Scotia,11232
2000,July,Ontario,1590
2000,July,Saskatchewan,16787
2000,August,Alberta,385312
2000,August,British Columbia,59050
2000,August,Canada Total,478429
2000,August,NWT & Yukon,3560
2000,August,New Brunswick,0
2000,August,Nova Scotia,12061
2000,August,Ontario,1587
2000,August,Saskatchewan,16858
2000,September,Alberta,378705
2000,September,British Columbia,56847
2000,September,Canada Total,469487
2000,September,NWT & Yukon,3535
2000,September,New Brunswick,0
2000,September,Nova Scotia,11813
2000,September,Ontario,1583
2000,September,Saskatchewan,17003
2000,October,Alberta,383789
2000,October,British Columbia,59528
2000,October,Canada Total,477425
2000,October,NWT & Yukon,3269
2000,October,New Brunswick,0
2000,October,Nova Scotia,12223
2000,October,Ontario,1590
2000,October,Saskatchewan,17026
2000,November,Alberta,385666
2000,November,British Columbia,60207
2000,November,Canada Total,481976
2000,November,NWT & Yukon,3826
2000,November,New Brunswick,0
2000,November,Nova Scotia,12580
2000,November,Ontario,2003
2000,November,Saskatchewan,17693
2000,December,Alberta,382380
2000,December,British Columbia,58581
2000,December,Canada Total,475456
2000,December,NWT & Yukon,4017
2000,December,New Brunswick,0
2000,December,Nova Scotia,11952
2000,December,Ontario,1123
2000,December,Saskatchewan,17403
2001,January,Alberta,394446
2001,January,British Columbia,59771
2001,January,Canada Total,488763
2001,January,NWT & Yukon,3939
2001,January,New Brunswick,0
2001,January,Nova Scotia,11794
2001,January,Ontario,1155
2001,January,Saskatchewan,17658
2001,February,Alberta,392433
2001,February,British Columbia,59825
2001,February,Canada Total,487928
2001,February,NWT & Yukon,4167
2001,February,New Brunswick,0
2001,February,Nova Scotia,13332
2001,February,Ontario,911
2001,February,Saskatchewan,17261
2001,March,Alberta,392793
2001,March,British Columbia,59080
2001,March,Canada Total,487555
2001,March,NWT & Yukon,3966
2001,March,New Brunswick,0
2001,March,Nova Scotia,13477
2001,March,Ontario,952
2001,March,Saskatchewan,17287
2001,April,Alberta,396522
2001,April,British Columbia,64967
2001,April,Canada Total,495939
2001,April,NWT & Yukon,4087
2001,April,New Brunswick,0
2001,April,Nova Scotia,12370
2001,April,Ontario,823
2001,April,Saskatchewan,17170
2001,May,Alberta,396945
2001,May,British Columbia,67458
2001,May,Canada Total,500380
2001,May,NWT & Yukon,4119
2001,May,New Brunswick,0
2001,May,Nova Scotia,13726
2001,May,Ontario,884
2001,May,Saskatchewan,17248
2001,June,Alberta,395730
2001,June,British Columbia,66711
2001,June,Canada Total,497212
2001,June,NWT & Yukon,3200
2001,June,New Brunswick,0
2001,June,Nova Scotia,13487
2001,June,Ontario,900
2001,June,Saskatchewan,17183
2001,July,Alberta,387103
2001,July,British Columbia,72193
2001,July,Canada Total,494996
2001,July,NWT & Yukon,4260
2001,July,New Brunswick,0
2001,July,Nova Scotia,13571
2001,July,Ontario,961
2001,July,Saskatchewan,16906
2001,August,Alberta,385607
2001,August,British Columbia,73572
2001,August,Canada Total,496243
2001,August,NWT & Yukon,4335
2001,August,New Brunswick,0
2001,August,Nova Scotia,14774
2001,August,Ontario,1074
2001,August,Saskatchewan,16881
2001,September,Alberta,382634
2001,September,British Columbia,70497
2001,September,Canada Total,490401
2001,September,NWT & Yukon,4294
2001,September,New Brunswick,0
2001,September,Nova Scotia,14687
2001,September,Ontario,867
2001,September,Saskatchewan,17423
2001,October,Alberta,384636
2001,October,British Columbia,71629
2001,October,Canada Total,494634
2001,October,NWT & Yukon,4475
2001,October,New Brunswick,0
2001,October,Nova Scotia,15223
2001,October,Ontario,1000
2001,October,Saskatchewan,17671
2001,November,Alberta,389550
2001,November,British Columbia,71999
2001,November,Canada Total,499558
2001,November,NWT & Yukon,4542
2001,November,New Brunswick,0
2001,November,Nova Scotia,14653
2001,November,Ontario,1070
2001,November,Saskatchewan,17743
2001,December,Alberta,389196
2001,December,British Columbia,74642
2001,December,Canada Total,502650
2001,December,NWT & Yukon,3880
2001,December,New Brunswick,0
2001,December,Nova Scotia,16006
2001,December,Ontario,1058
2001,December,Saskatchewan,17868
2002,January,Alberta,381853
2002,January,British Columbia,71313
2002,January,Canada Total,490438
2002,January,NWT & Yukon,4043
2002,January,New Brunswick,0
2002,January,Nova Scotia,14390
2002,January,Ontario,1061
2002,January,Saskatchewan,17777
2002,February,Alberta,385167
2002,February,British Columbia,74776
2002,February,Canada Total,497216
2002,February,NWT & Yukon,4173
2002,February,New Brunswick,0
2002,February,Nova Scotia,14632
2002,February,Ontario,1025
2002,February,Saskatchewan,17443
2002,March,Alberta,383241
2002,March,British Columbia,79161
2002,March,Canada Total,499134
2002,March,NWT & Yukon,3455
2002,March,New Brunswick,0
2002,March,Nova Scotia,15045
2002,March,Ontario,1003
2002,March,Saskatchewan,17229
2002,April,Alberta,389803
2002,April,British Columbia,81385
2002,April,Canada Total,507642
2002,April,NWT & Yukon,3724
2002,April,New Brunswick,0
2002,April,Nova Scotia,14500
2002,April,Ontario,1027
2002,April,Saskatchewan,17203
2002,May,Alberta,372717
2002,May,British Columbia,80525
2002,May,Canada Total,487694
2002,May,NWT & Yukon,3555
2002,May,New Brunswick,0
2002,May,Nova Scotia,13235
2002,May,Ontario,1029
2002,May,Saskatchewan,16632
2002,June,Alberta,374425
2002,June,British Columbia,78932
2002,June,Canada Total,488813
2002,June,NWT & Yukon,3479
2002,June,New Brunswick,0
2002,June,Nova Scotia,14190
2002,June,Ontario,990
2002,June,Saskatchewan,16797
2002,July,Alberta,374858
2002,July,British Columbia,76494
2002,July,Canada Total,486944
2002,July,NWT & Yukon,3593
2002,July,New Brunswick,0
2002,July,Nova Scotia,14474
2002,July,Ontario,955
2002,July,Saskatchewan,16571
2002,August,Alberta,376659
2002,August,British Columbia,68863
2002,August,Canada Total,481269
2002,August,NWT & Yukon,3227
2002,August,New Brunswick,0
2002,August,Nova Scotia,14761
2002,August,Ontario,1048
2002,August,Saskatchewan,16710
2002,September,Alberta,373757
2002,September,British Columbia,70806
2002,September,Canada Total,479649
2002,September,NWT & Yukon,2532
2002,September,New Brunswick,0
2002,September,Nova Scotia,14713
2002,September,Ontario,930
2002,September,Saskatchewan,16910
2002,October,Alberta,378614
2002,October,British Columbia,74086
2002,October,Canada Total,487026
2002,October,NWT & Yukon,3293
2002,October,New Brunswick,0
2002,October,Nova Scotia,12729
2002,October,Ontario,987
2002,October,Saskatchewan,17316
2002,November,Alberta,380659
2002,November,British Columbia,72179
2002,November,Canada Total,489315
2002,November,NWT & Yukon,2941
2002,November,New Brunswick,0
2002,November,Nova Scotia,14463
2002,November,Ontario,1017
2002,November,Saskatchewan,18057
2002,December,Alberta,382852
2002,December,British Columbia,70929
2002,December,Canada Total,490604
2002,December,NWT & Yukon,2958
2002,December,New Brunswick,0
2002,December,Nova Scotia,14190
2002,December,Ontario,1077
2002,December,Saskatchewan,18597
2003,January,Alberta,369754
2003,January,British Columbia,67781
2003,January,Canada Total,473131
2003,January,NWT & Yukon,2748
2003,January,New Brunswick,0
2003,January,Nova Scotia,12813
2003,January,Ontario,861
2003,January,Saskatchewan,19174
2003,February,Alberta,373562
2003,February,British Columbia,67521
2003,February,Canada Total,475454
2003,February,NWT & Yukon,2697
2003,February,New Brunswick,0
2003,February,Nova Scotia,11571
2003,February,Ontario,832
2003,February,Saskatchewan,19271
2003,March,Alberta,373281
2003,March,British Columbia,68942
2003,March,Canada Total,476922
2003,March,NWT & Yukon,2573
2003,March,New Brunswick,0
2003,March,Nova Scotia,12435
2003,March,Ontario,826
2003,March,Saskatchewan,18865
2003,April,Alberta,375354
2003,April,British Columbia,72508
2003,April,Canada Total,483364
2003,April,NWT & Yukon,2643
2003,April,New Brunswick,15
2003,April,Nova Scotia,12872
2003,April,Ontario,813
2003,April,Saskatchewan,19160
2003,May,Alberta,363935
2003,May,British Columbia,70841
2003,May,Canada Total,470203
2003,May,NWT & Yukon,2969
2003,May,New Brunswick,52
2003,May,Nova Scotia,13164
2003,May,Ontario,826
2003,May,Saskatchewan,18416
2003,June,Alberta,362379
2003,June,British Columbia,69610
2003,June,Canada Total,466268
2003,June,NWT & Yukon,2626
2003,June,New Brunswick,54
2003,June,Nova Scotia,12506
2003,June,Ontario,757
2003,June,Saskatchewan,18337
2003,July,Alberta,369887
2003,July,British Columbia,64268
2003,July,Canada Total,467932
2003,July,NWT & Yukon,1935
2003,July,New Brunswick,34
2003,July,Nova Scotia,12469
2003,July,Ontario,781
2003,July,Saskatchewan,18558
2003,August,Alberta,368796
2003,August,British Columbia,69568
2003,August,Canada Total,472203
2003,August,NWT & Yukon,2800
2003,August,New Brunswick,21
2003,August,Nova Scotia,11437
2003,August,Ontario,774
2003,August,Saskatchewan,18806
2003,September,Alberta,364198
2003,September,British Columbia,69382
2003,September,Canada Total,468225
2003,September,NWT & Yukon,2945
2003,September,New Brunswick,50
2003,September,Nova Scotia,11247
2003,September,Ontario,813
2003,September,Saskatchewan,19590
2003,October,Alberta,369578
2003,October,British Columbia,69582
2003,October,Canada Total,473975
2003,October,NWT & Yukon,2845
2003,October,New Brunswick,58
2003,October,Nova Scotia,11484
2003,October,Ontario,806
2003,October,Saskatchewan,19623
2003,November,Alberta,371079
2003,November,British Columbia,69233
2003,November,Canada Total,475045
2003,November,NWT & Yukon,2757
2003,November,New Brunswick,53
2003,November,Nova Scotia,11690
2003,November,Ontario,817
2003,November,Saskatchewan,19417
2003,December,Alberta,373929
2003,December,British Columbia,69154
2003,December,Canada Total,479693
2003,December,NWT & Yukon,2678
2003,December,New Brunswick,48
2003,December,Nova Scotia,12787
2003,December,Ontario,816
2003,December,Saskatchewan,20281
2004,January,Alberta,365754
2004,January,British Columbia,69196
2004,January,Canada Total,470796
2004,January,NWT & Yukon,2697
2004,January,New Brunswick,55
2004,January,Nova Scotia,12742
2004,January,Ontario,784
2004,January,Saskatchewan,19568
2004,February,Alberta,371696
2004,February,British Columbia,72037
2004,February,Canada Total,479342
2004,February,NWT & Yukon,2364
2004,February,New Brunswick,57
2004,February,Nova Scotia,12549
2004,February,Ontario,741
2004,February,Saskatchewan,19897
2004,March,Alberta,377177
2004,March,British Columbia,72726
2004,March,Canada Total,486034
2004,March,NWT & Yukon,2104
2004,March,New Brunswick,54
2004,March,Nova Scotia,12507
2004,March,Ontario,755
2004,March,Saskatchewan,20710
2004,April,Alberta,380214
2004,April,British Columbia,76973
2004,April,Canada Total,493000
2004,April,NWT & Yukon,2267
2004,April,New Brunswick,55
2004,April,Nova Scotia,12128
2004,April,Ontario,757
2004,April,Saskatchewan,20607
2004,May,Alberta,376855
2004,May,British Columbia,76817
2004,May,Canada Total,488085
2004,May,NWT & Yukon,2216
2004,May,New Brunswick,55
2004,May,Nova Scotia,11278
2004,May,Ontario,726
2004,May,Saskatchewan,20139
2004,June,Alberta,372264
2004,June,British Columbia,69993
2004,June,Canada Total,476657
2004,June,NWT & Yukon,2271
2004,June,New Brunswick,57
2004,June,Nova Scotia,11366
2004,June,Ontario,747
2004,June,Saskatchewan,19960
2004,July,Alberta,371452
2004,July,British Columbia,70812
2004,July,Canada Total,475645
2004,July,NWT & Yukon,2162
2004,July,New Brunswick,46
2004,July,Nova Scotia,10541
2004,July,Ontario,761
2004,July,Saskatchewan,19871
2004,August,Alberta,375030
2004,August,British Columbia,67404
2004,August,Canada Total,476032
2004,August,NWT & Yukon,2075
2004,August,New Brunswick,29
2004,August,Nova Scotia,10742
2004,August,Ontario,758
2004,August,Saskatchewan,19994
2004,September,Alberta,369013
2004,September,British Columbia,68518
2004,September,Canada Total,471560
2004,September,NWT & Yukon,2059
2004,September,New Brunswick,49
2004,September,Nova Scotia,11184
2004,September,Ontario,650
2004,September,Saskatchewan,20087
2004,October,Alberta,373553
2004,October,British Columbia,69887
2004,October,Canada Total,476984
2004,October,NWT & Yukon,1790
2004,October,New Brunswick,54
2004,October,Nova Scotia,10585
2004,October,Ontario,752
2004,October,Saskatchewan,20365
2004,November,Alberta,376695
2004,November,British Columbia,72387
2004,November,Canada Total,483143
2004,November,NWT & Yukon,2155
2004,November,New Brunswick,58
2004,November,Nova Scotia,10328
2004,November,Ontario,770
2004,November,Saskatchewan,20750
2004,December,Alberta,375391
2004,December,British Columbia,70029
2004,December,Canada Total,479043
2004,December,NWT & Yukon,1894
2004,December,New Brunswick,55
2004,December,Nova Scotia,10342
2004,December,Ontario,748
2004,December,Saskatchewan,20584
2005,January,Alberta,368185
2005,January,British Columbia,70623
2005,January,Canada Total,470898
2005,January,NWT & Yukon,1520
2005,January,New Brunswick,58
2005,January,Nova Scotia,9913
2005,January,Ontario,719
2005,January,Saskatchewan,19881
2005,February,Alberta,374867
2005,February,British Columbia,71961
2005,February,Canada Total,480032
2005,February,NWT & Yukon,1344
2005,February,New Brunswick,55
2005,February,Nova Scotia,10623
2005,February,Ontario,704
2005,February,Saskatchewan,20479
2005,March,Alberta,379180
2005,March,British Columbia,72907
2005,March,Canada Total,485700
2005,March,NWT & Yukon,1501
2005,March,New Brunswick,57
2005,March,Nova Scotia,10640
2005,March,Ontario,681
2005,March,Saskatchewan,20735
2005,April,Alberta,381645
2005,April,British Columbia,78040
2005,April,Canada Total,493100
2005,April,NWT & Yukon,1621
2005,April,New Brunswick,58
2005,April,Nova Scotia,10702
2005,April,Ontario,697
2005,April,Saskatchewan,20337
2005,May,Alberta,371660
2005,May,British Columbia,75679
2005,May,Canada Total,478816
2005,May,NWT & Yukon,1877
2005,May,New Brunswick,47
2005,May,Nova Scotia,9927
2005,May,Ontario,687
2005,May,Saskatchewan,18939
2005,June,Alberta,365507
2005,June,British Columbia,71643
2005,June,Canada Total,470082
2005,June,NWT & Yukon,1830
2005,June,New Brunswick,43
2005,June,Nova Scotia,10877
2005,June,Ontario,623
2005,June,Saskatchewan,19559
2005,July,Alberta,375139
2005,July,British Columbia,72939
2005,July,Canada Total,481189
2005,July,NWT & Yukon,1778
2005,July,New Brunswick,38
2005,July,Nova Scotia,11112
2005,July,Ontario,677
2005,July,Saskatchewan,19505
2005,August,Alberta,374228
2005,August,British Columbia,76039
2005,August,Canada Total,484242
2005,August,NWT & Yukon,1797
2005,August,New Brunswick,26
2005,August,Nova Scotia,11993
2005,August,Ontario,690
2005,August,Saskatchewan,19470
2005,September,Alberta,370619
2005,September,British Columbia,74339
2005,September,Canada Total,478347
2005,September,NWT & Yukon,1620
2005,September,New Brunswick,59
2005,September,Nova Scotia,11638
2005,September,Ontario,737
2005,September,Saskatchewan,19335
2005,October,Alberta,374380
2005,October,British Columbia,75161
2005,October,Canada Total,482904
2005,October,NWT & Yukon,1454
2005,October,New Brunswick,56
2005,October,Nova Scotia,11446
2005,October,Ontario,726
2005,October,Saskatchewan,19681
2005,November,Alberta,378113
2005,November,British Columbia,76254
2005,November,Canada Total,488309
2005,November,NWT & Yukon,1400
2005,November,New Brunswick,54
2005,November,Nova Scotia,11445
2005,November,Ontario,723
2005,November,Saskatchewan,20320
2005,December,Alberta,380315
2005,December,British Columbia,75942
2005,December,Canada Total,489778
2005,December,NWT & Yukon,1364
2005,December,New Brunswick,44
2005,December,Nova Scotia,10782
2005,December,Ontario,703
2005,December,Saskatchewan,20627
2006,January,Alberta,379940
2006,January,British Columbia,73717
2006,January,Canada Total,487364
2006,January,NWT & Yukon,1228
2006,January,New Brunswick,57
2006,January,Nova Scotia,10655
2006,January,Ontario,768
2006,January,Saskatchewan,21000
2006,February,Alberta,379646
2006,February,British Columbia,73724
2006,February,Canada Total,486367
2006,February,NWT & Yukon,1062
2006,February,New Brunswick,51
2006,February,Nova Scotia,10354
2006,February,Ontario,750
2006,February,Saskatchewan,20779
2006,March,Alberta,385158
2006,March,British Columbia,73786
2006,March,Canada Total,491240
2006,March,NWT & Yukon,1109
2006,March,New Brunswick,51
2006,March,Nova Scotia,9416
2006,March,Ontario,723
2006,March,Saskatchewan,20997
2006,April,Alberta,388137
2006,April,British Columbia,78364
2006,April,Canada Total,497967
2006,April,NWT & Yukon,1055
2006,April,New Brunswick,57
2006,April,Nova Scotia,8891
2006,April,Ontario,750
2006,April,Saskatchewan,20713
2006,May,Alberta,381038
2006,May,British Columbia,78390
2006,May,Canada Total,490245
2006,May,NWT & Yukon,1020
2006,May,New Brunswick,52
2006,May,Nova Scotia,8581
2006,May,Ontario,758
2006,May,Saskatchewan,20406
2006,June,Alberta,367291
2006,June,British Columbia,75478
2006,June,Canada Total,473430
2006,June,NWT & Yukon,1037
2006,June,New Brunswick,54
2006,June,Nova Scotia,9007
2006,June,Ontario,687
2006,June,Saskatchewan,19877
2006,July,Alberta,376714
2006,July,British Columbia,66534
2006,July,Canada Total,476010
2006,July,NWT & Yukon,754
2006,July,New Brunswick,38
2006,July,Nova Scotia,11606
2006,July,Ontario,665
2006,July,Saskatchewan,19700
2006,August,Alberta,381799
2006,August,British Columbia,75546
2006,August,Canada Total,490369
2006,August,NWT & Yukon,1059
2006,August,New Brunswick,2
2006,August,Nova Scotia,11485
2006,August,Ontario,674
2006,August,Saskatchewan,19803
2006,September,Alberta,370879
2006,September,British Columbia,75854
2006,September,Canada Total,476618
2006,September,NWT & Yukon,1028
2006,September,New Brunswick,55
2006,September,Nova Scotia,8789
2006,September,Ontario,677
2006,September,Saskatchewan,19337
2006,October,Alberta,379750
2006,October,British Columbia,72671
2006,October,Canada Total,484044
2006,October,NWT & Yukon,981
2006,October,New Brunswick,55
2006,October,Nova Scotia,10413
2006,October,Ontario,684
2006,October,Saskatchewan,19490
2006,November,Alberta,373097
2006,November,British Columbia,69776
2006,November,Canada Total,474068
2006,November,NWT & Yukon,996
2006,November,New Brunswick,47
2006,November,Nova Scotia,9782
2006,November,Ontario,707
2006,November,Saskatchewan,19663
2006,December,Alberta,382983
2006,December,British Columbia,70212
2006,December,Canada Total,483607
2006,December,NWT & Yukon,1012
2006,December,New Brunswick,46
2006,December,Nova Scotia,8935
2006,December,Ontario,687
2006,December,Saskatchewan,19732
2007,January,Alberta,380553
2007,January,British Columbia,72878
2007,January,Canada Total,482910
2007,January,NWT & Yukon,918
2007,January,New Brunswick,55
2007,January,Nova Scotia,8574
2007,January,Ontario,645
2007,January,Saskatchewan,19287
2007,February,Alberta,379331
2007,February,British Columbia,74156
2007,February,Canada Total,484081
2007,February,NWT & Yukon,979
2007,February,New Brunswick,53
2007,February,Nova Scotia,10119
2007,February,Ontario,596
2007,February,Saskatchewan,18846
2007,March,Alberta,382334
2007,March,British Columbia,73735
2007,March,Canada Total,487292
2007,March,NWT & Yukon,987
2007,March,New Brunswick,49
2007,March,Nova Scotia,10214
2007,March,Ontario,581
2007,March,Saskatchewan,19393
2007,April,Alberta,382983
2007,April,British Columbia,77772
2007,April,Canada Total,493192
2007,April,NWT & Yukon,999
2007,April,New Brunswick,48
2007,April,Nova Scotia,11933
2007,April,Ontario,477
2007,April,Saskatchewan,18981
2007,May,Alberta,376974
2007,May,British Columbia,72017
2007,May,Canada Total,482261
2007,May,NWT & Yukon,949
2007,May,New Brunswick,51
2007,May,Nova Scotia,12906
2007,May,Ontario,587
2007,May,Saskatchewan,18776
2007,June,Alberta,365514
2007,June,British Columbia,70028
2007,June,Canada Total,467112
2007,June,NWT & Yukon,919
2007,June,New Brunswick,98
2007,June,Nova Scotia,11442
2007,June,Ontario,593
2007,June,Saskatchewan,18517
2007,July,Alberta,363981
2007,July,British Columbia,74314
2007,July,Canada Total,469431
2007,July,NWT & Yukon,904
2007,July,New Brunswick,782
2007,July,Nova Scotia,10414
2007,July,Ontario,597
2007,July,Saskatchewan,18438
2007,August,Alberta,369344
2007,August,British Columbia,75299
2007,August,Canada Total,477033
2007,August,NWT & Yukon,855
2007,August,New Brunswick,783
2007,August,Nova Scotia,11744
2007,August,Ontario,594
2007,August,Saskatchewan,18414
2007,September,Alberta,361097
2007,September,British Columbia,76010
2007,September,Canada Total,469904
2007,September,NWT & Yukon,847
2007,September,New Brunswick,812
2007,September,Nova Scotia,12115
2007,September,Ontario,607
2007,September,Saskatchewan,18417
2007,October,Alberta,365316
2007,October,British Columbia,75161
2007,October,Canada Total,470000
2007,October,NWT & Yukon,841
2007,October,New Brunswick,789
2007,October,Nova Scotia,8994
2007,October,Ontario,581
2007,October,Saskatchewan,18319
2007,November,Alberta,361130
2007,November,British Columbia,74509
2007,November,Canada Total,467097
2007,November,NWT & Yukon,822
2007,November,New Brunswick,876
2007,November,Nova Scotia,10786
2007,November,Ontario,580
2007,November,Saskatchewan,18395
2007,December,Alberta,360614
2007,December,British Columbia,72616
2007,December,Canada Total,463762
2007,December,NWT & Yukon,715
2007,December,New Brunswick,836
2007,December,Nova Scotia,10490
2007,December,Ontario,561
2007,December,Saskatchewan,17929
2008,January,Alberta,353899
2008,January,British Columbia,72351
2008,January,Canada Total,458445
2008,January,NWT & Yukon,645
2008,January,New Brunswick,771
2008,January,Nova Scotia,12461
2008,January,Ontario,545
2008,January,Saskatchewan,17773
2008,February,Alberta,349514
2008,February,British Columbia,72407
2008,February,Canada Total,453501
2008,February,NWT & Yukon,660
2008,February,New Brunswick,782
2008,February,Nova Scotia,12193
2008,February,Ontario,534
2008,February,Saskatchewan,17411
2008,March,Alberta,359217
2008,March,British Columbia,75396
2008,March,Canada Total,467767
2008,March,NWT & Yukon,678
2008,March,New Brunswick,830
2008,March,Nova Scotia,13073
2008,March,Ontario,526
2008,March,Saskatchewan,18047
2008,April,Alberta,363454
2008,April,British Columbia,78146
2008,April,Canada Total,473625
2008,April,NWT & Yukon,653
2008,April,New Brunswick,804
2008,April,Nova Scotia,12218
2008,April,Ontario,533
2008,April,Saskatchewan,17818
2008,May,Alberta,354176
2008,May,British Columbia,78484
2008,May,Canada Total,464739
2008,May,NWT & Yukon,638
2008,May,New Brunswick,743
2008,May,Nova Scotia,12561
2008,May,Ontario,558
2008,May,Saskatchewan,17580
2008,June,Alberta,345848
2008,June,British Columbia,69156
2008,June,Canada Total,444778
2008,June,NWT & Yukon,639
2008,June,New Brunswick,704
2008,June,Nova Scotia,10656
2008,June,Ontario,537
2008,June,Saskatchewan,17238
2008,July,Alberta,353000
2008,July,British Columbia,77392
2008,July,Canada Total,461452
2008,July,NWT & Yukon,661
2008,July,New Brunswick,699
2008,July,Nova Scotia,11854
2008,July,Ontario,532
2008,July,Saskatchewan,17313
2008,August,Alberta,349652
2008,August,British Columbia,77830
2008,August,Canada Total,455678
