Year,Month,Province,Production_e3m3d
2008,August,NWT & Yukon,652
2008,August,New Brunswick,720
2008,August,Nova Scotia,8840
2008,August,Ontario,539
2008,August,Saskatchewan,17445
2008,September,Alberta,346517
2008,September,British Columbia,78500
2008,September,Canada Total,455960
2008,September,NWT & Yukon,635
2008,September,New Brunswick,697
2008,September,Nova Scotia,11766
2008,September,Ontario,537
2008,September,Saskatchewan,17308
2008,October,Alberta,345883
2008,October,British Columbia,77310
2008,October,Canada Total,454274
2008,October,NWT & Yukon,634
2008,October,New Brunswick,688
2008,October,Nova Scotia,12046
2008,October,Ontario,539
2008,October,Saskatchewan,17175
2008,November,Alberta,345702
2008,November,British Columbia,77006
2008,November,Canada Total,453739
2008,November,NWT & Yukon,609
2008,November,New Brunswick,842
2008,November,Nova Scotia,11605
2008,November,Ontario,537
2008,November,Saskatchewan,17439
2008,December,Alberta,333341
2008,December,British Columbia,75111
2008,December,Canada Total,438143
2008,December,NWT & Yukon,558
2008,December,New Brunswick,761
2008,December,Nova Scotia,11366
2008,December,Ontario,481
2008,December,Saskatchewan,16527
2009,January,Alberta,334020
2009,January,British Columbia,75484
2009,January,Canada Total,438392
2009,January,NWT & Yukon,485
2009,January,New Brunswick,730
2009,January,Nova Scotia,10750
2009,January,Ontario,516
2009,January,Saskatchewan,16407
2009,February,Alberta,341742
2009,February,British Columbia,77548
2009,February,Canada Total,449438
2009,February,NWT & Yukon,651
2009,February,New Brunswick,724
2009,February,Nova Scotia,11331
2009,February,Ontario,471
2009,February,Saskatchewan,16971
2009,March,Alberta,338188
2009,March,British Columbia,78179
2009,March,Canada Total,445498
2009,March,NWT & Yukon,620
2009,March,New Brunswick,675
2009,March,Nova Scotia,10582
2009,March,Ontario,497
2009,March,Saskatchewan,16757
2009,April,Alberta,348180
2009,April,British Columbia,80594
2009,April,Canada Total,455917
2009,April,NWT & Yukon,619
2009,April,New Brunswick,650
2009,April,Nova Scotia,8736
2009,April,Ontario,500
2009,April,Saskatchewan,16639
2009,May,Alberta,332225
2009,May,British Columbia,77959
2009,May,Canada Total,438789
2009,May,NWT & Yukon,635
2009,May,New Brunswick,633
2009,May,Nova Scotia,10394
2009,May,Ontario,513
2009,May,Saskatchewan,16429
2009,June,Alberta,330842
2009,June,British Columbia,72725
2009,June,Canada Total,430371
2009,June,NWT & Yukon,502
2009,June,New Brunswick,608
2009,June,Nova Scotia,9013
2009,June,Ontario,500
2009,June,Saskatchewan,16181
2009,July,Alberta,327399
2009,July,British Columbia,76770
2009,July,Canada Total,431794
2009,July,NWT & Yukon,458
2009,July,New Brunswick,600
2009,July,Nova Scotia,9951
2009,July,Ontario,506
2009,July,Saskatchewan,16110
2009,August,Alberta,321876
2009,August,British Columbia,75773
2009,August,Canada Total,417949
2009,August,NWT & Yukon,677
2009,August,New Brunswick,583
2009,August,Nova Scotia,2282
2009,August,Ontario,506
2009,August,Saskatchewan,16252
2009,September,Alberta,303692
2009,September,British Columbia,70606
2009,September,Canada Total,401291
2009,September,NWT & Yukon,670
2009,September,New Brunswick,531
2009,September,Nova Scotia,9480
2009,September,Ontario,500
2009,September,Saskatchewan,15812
2009,October,Alberta,305918
2009,October,British Columbia,71530
2009,October,Canada Total,404162
2009,October,NWT & Yukon,627
2009,October,New Brunswick,786
2009,October,Nova Scotia,9395
2009,October,Ontario,471
2009,October,Saskatchewan,15436
2009,November,Alberta,313599
2009,November,British Columbia,75843
2009,November,Canada Total,415837
2009,November,NWT & Yukon,625
2009,November,New Brunswick,678
2009,November,Nova Scotia,9434
2009,November,Ontario,483
2009,November,Saskatchewan,15176
2009,December,Alberta,303256
2009,December,British Columbia,73163
2009,December,Canada Total,402066
2009,December,NWT & Yukon,597
2009,December,New Brunswick,646
2009,December,Nova Scotia,9172
2009,December,Ontario,477
2009,December,Saskatchewan,14754
2010,January,Alberta,309133
2010,January,British Columbia,76837
2010,January,Canada Total,411529
2010,January,NWT & Yukon,636
2010,January,New Brunswick,594
2010,January,Nova Scotia,8966
2010,January,Ontario,477
2010,January,Saskatchewan,14886
2010,February,Alberta,313702
2010,February,British Columbia,79104
2010,February,Canada Total,417937
2010,February,NWT & Yukon,614
2010,February,New Brunswick,508
2010,February,Nova Scotia,8837
2010,February,Ontario,471
2010,February,Saskatchewan,14701
2010,March,Alberta,318030
2010,March,British Columbia,78673
2010,March,Canada Total,422210
2010,March,NWT & Yukon,591
2010,March,New Brunswick,576
2010,March,Nova Scotia,9051
2010,March,Ontario,477
2010,March,Saskatchewan,14811
2010,April,Alberta,320614
2010,April,British Columbia,81968
2010,April,Canada Total,427391
2010,April,NWT & Yukon,616
2010,April,New Brunswick,535
2010,April,Nova Scotia,8660
2010,April,Ontario,470
2010,April,Saskatchewan,14529
2010,May,Alberta,315676
2010,May,British Columbia,81308
2010,May,Canada Total,419790
2010,May,NWT & Yukon,590
2010,May,New Brunswick,514
2010,May,Nova Scotia,7085
2010,May,Ontario,468
2010,May,Saskatchewan,14148
2010,June,Alberta,303609
2010,June,British Columbia,76958
2010,June,Canada Total,404905
2010,June,NWT & Yukon,551
2010,June,New Brunswick,512
2010,June,Nova Scotia,8650
2010,June,Ontario,470
2010,June,Saskatchewan,14154
2010,July,Alberta,309036
2010,July,British Columbia,76591
2010,July,Canada Total,409604
2010,July,NWT & Yukon,379
2010,July,New Brunswick,478
2010,July,Nova Scotia,8597
2010,July,Ontario,458
2010,July,Saskatchewan,14064
2010,August,Alberta,309118
2010,August,British Columbia,84454
2010,August,Canada Total,417793
2010,August,NWT & Yukon,509
2010,August,New Brunswick,463
2010,August,Nova Scotia,8457
2010,August,Ontario,471
2010,August,Saskatchewan,14320
2010,September,Alberta,298320
2010,September,British Columbia,84699
2010,September,Canada Total,406989
2010,September,NWT & Yukon,543
2010,September,New Brunswick,330
2010,September,Nova Scotia,8467
2010,September,Ontario,443
2010,September,Saskatchewan,14187
2010,October,Alberta,299707
2010,October,British Columbia,83840
2010,October,Canada Total,407150
2010,October,NWT & Yukon,562
2010,October,New Brunswick,424
2010,October,Nova Scotia,7967
2010,October,Ontario,465
2010,October,Saskatchewan,14186
2010,November,Alberta,293251
2010,November,British Columbia,85727
2010,November,Canada Total,401577
2010,November,NWT & Yukon,576
2010,November,New Brunswick,558
2010,November,Nova Scotia,7798
2010,November,Ontario,480
2010,November,Saskatchewan,13186
2010,December,Alberta,296023
2010,December,British Columbia,89693
2010,December,Canada Total,408866
2010,December,NWT & Yukon,593
2010,December,New Brunswick,542
2010,December,Nova Scotia,7832
2010,December,Ontario,445
2010,December,Saskatchewan,13739
2011,January,Alberta,292575
2011,January,British Columbia,90624
2011,January,Canada Total,405327
2011,January,NWT & Yukon,570
2011,January,New Brunswick,504
2011,January,Nova Scotia,7360
2011,January,Ontario,435
2011,January,Saskatchewan,13259
2011,February,Alberta,294747
2011,February,British Columbia,91047
2011,February,Canada Total,408432
2011,February,NWT & Yukon,561
2011,February,New Brunswick,493
2011,February,Nova Scotia,8045
2011,February,Ontario,432
2011,February,Saskatchewan,13108
2011,March,Alberta,293202
2011,March,British Columbia,94088
2011,March,Canada Total,409931
2011,March,NWT & Yukon,516
2011,March,New Brunswick,478
2011,March,Nova Scotia,8011
2011,March,Ontario,403
2011,March,Saskatchewan,13232
2011,April,Alberta,303308
2011,April,British Columbia,99535
2011,April,Canada Total,425160
2011,April,NWT & Yukon,605
2011,April,New Brunswick,473
2011,April,Nova Scotia,7833
2011,April,Ontario,413
2011,April,Saskatchewan,12993
2011,May,Alberta,291879
2011,May,British Columbia,100155
2011,May,Canada Total,413970
2011,May,NWT & Yukon,477
2011,May,New Brunswick,419
2011,May,Nova Scotia,7752
2011,May,Ontario,439
2011,May,Saskatchewan,12849
2011,June,Alberta,293140
2011,June,British Columbia,89494
2011,June,Canada Total,401503
2011,June,NWT & Yukon,409
2011,June,New Brunswick,471
2011,June,Nova Scotia,4841
2011,June,Ontario,450
2011,June,Saskatchewan,12699
2011,July,Alberta,295144
2011,July,British Columbia,97850
2011,July,Canada Total,414363
2011,July,NWT & Yukon,399
2011,July,New Brunswick,434
2011,July,Nova Scotia,7355
2011,July,Ontario,442
2011,July,Saskatchewan,12738
2011,August,Alberta,290551
2011,August,British Columbia,99529
2011,August,Canada Total,411724
2011,August,NWT & Yukon,400
2011,August,New Brunswick,427
2011,August,Nova Scotia,7462
2011,August,Ontario,419
2011,August,Saskatchewan,12936
2011,September,Alberta,291584
2011,September,British Columbia,98344
2011,September,Canada Total,411394
2011,September,NWT & Yukon,442
2011,September,New Brunswick,426
2011,September,Nova Scotia,7143
2011,September,Ontario,450
2011,September,Saskatchewan,13006
2011,October,Alberta,287282
2011,October,British Columbia,102571
2011,October,Canada Total,411066
2011,October,NWT & Yukon,579
2011,October,New Brunswick,420
2011,October,Nova Scotia,6633
2011,October,Ontario,442
2011,October,Saskatchewan,13140
2011,November,Alberta,295048
2011,November,British Columbia,101491
2011,November,Canada Total,417601
2011,November,NWT & Yukon,594
2011,November,New Brunswick,407
2011,November,Nova Scotia,6585
2011,November,Ontario,427
2011,November,Saskatchewan,13049
2011,December,Alberta,299190
2011,December,British Columbia,104117
2011,December,Canada Total,424894
2011,December,NWT & Yukon,583
2011,December,New Brunswick,406
2011,December,Nova Scotia,7048
2011,December,Ontario,429
2011,December,Saskatchewan,13120
2012,January,Alberta,290007
2012,January,British Columbia,101455
2012,January,Canada Total,412672
2012,January,NWT & Yukon,566
2012,January,New Brunswick,392
2012,January,Nova Scotia,6974
2012,January,Ontario,410
2012,January,Saskatchewan,12869
2012,February,Alberta,288146
2012,February,British Columbia,103357
2012,February,Canada Total,412259
2012,February,NWT & Yukon,580
2012,February,New Brunswick,385
2012,February,Nova Scotia,6435
2012,February,Ontario,410
2012,February,Saskatchewan,12946
2012,March,Alberta,288454
2012,March,British Columbia,99786
2012,March,Canada Total,409146
2012,March,NWT & Yukon,533
2012,March,New Brunswick,372
2012,March,Nova Scotia,6939
2012,March,Ontario,403
2012,March,Saskatchewan,12661
2012,April,Alberta,286044
2012,April,British Columbia,95262
2012,April,Canada Total,399868
2012,April,NWT & Yukon,443
2012,April,New Brunswick,353
2012,April,Nova Scotia,5101
2012,April,Ontario,407
2012,April,Saskatchewan,12259
2012,May,Alberta,280485
2012,May,British Columbia,94326
2012,May,Canada Total,393921
2012,May,NWT & Yukon,557
2012,May,New Brunswick,340
2012,May,Nova Scotia,5965
2012,May,Ontario,403
2012,May,Saskatchewan,11844
2012,June,Alberta,272547
2012,June,British Columbia,93174
2012,June,Canada Total,384837
2012,June,NWT & Yukon,531
2012,June,New Brunswick,329
2012,June,Nova Scotia,6047
2012,June,Ontario,393
2012,June,Saskatchewan,11816
2012,July,Alberta,270487
2012,July,British Columbia,92743
2012,July,Canada Total,382751
2012,July,NWT & Yukon,435
2012,July,New Brunswick,323
2012,July,Nova Scotia,6494
2012,July,Ontario,381
2012,July,Saskatchewan,11890
2012,August,Alberta,268864
2012,August,British Columbia,96114
2012,August,Canada Total,384191
2012,August,NWT & Yukon,488
2012,August,New Brunswick,314
2012,August,Nova Scotia,6190
2012,August,Ontario,413
2012,August,Saskatchewan,11807
2012,September,Alberta,267266
2012,September,British Columbia,97674
2012,September,Canada Total,381367
2012,September,NWT & Yukon,443
2012,September,New Brunswick,263
2012,September,Nova Scotia,3356
2012,September,Ontario,407
2012,September,Saskatchewan,11957
2012,October,Alberta,272277
2012,October,British Columbia,98532
2012,October,Canada Total,387892
2012,October,NWT & Yukon,390
2012,October,New Brunswick,310
2012,October,Nova Scotia,3967
2012,October,Ontario,397
2012,October,Saskatchewan,12020
2012,November,Alberta,275982
2012,November,British Columbia,96762
2012,November,Canada Total,389443
2012,November,NWT & Yukon,403
2012,November,New Brunswick,374
2012,November,Nova Scotia,3728
2012,November,Ontario,387
2012,November,Saskatchewan,11808
2012,December,Alberta,270937
2012,December,British Columbia,102197
2012,December,Canada Total,389722
2012,December,NWT & Yukon,407
2012,December,New Brunswick,343
2012,December,Nova Scotia,3883
2012,December,Ontario,377
2012,December,Saskatchewan,11578
2013,January,Alberta,276356
2013,January,British Columbia,103824
2013,January,Canada Total,396221
2013,January,NWT & Yukon,367
2013,January,New Brunswick,322
2013,January,Nova Scotia,3603
2013,January,Ontario,352
2013,January,Saskatchewan,11397
2013,February,Alberta,278946
2013,February,British Columbia,104310
2013,February,Canada Total,399203
2013,February,NWT & Yukon,275
2013,February,New Brunswick,320
2013,February,Nova Scotia,3579
2013,February,Ontario,368
2013,February,Saskatchewan,11405
2013,March,Alberta,276033
2013,March,British Columbia,103507
2013,March,Canada Total,395454
2013,March,NWT & Yukon,351
2013,March,New Brunswick,328
2013,March,Nova Scotia,3629
2013,March,Ontario,326
2013,March,Saskatchewan,11280
2013,April,Alberta,280016
2013,April,British Columbia,106472
2013,April,Canada Total,401564
2013,April,NWT & Yukon,349
2013,April,New Brunswick,319
2013,April,Nova Scotia,2721
2013,April,Ontario,353
2013,April,Saskatchewan,11333
2013,May,Alberta,276968
2013,May,British Columbia,101478
2013,May,Canada Total,393060
2013,May,NWT & Yukon,359
2013,May,New Brunswick,316
2013,May,Nova Scotia,2441
2013,May,Ontario,342
2013,May,Saskatchewan,11155
2013,June,Alberta,272106
2013,June,British Columbia,96480
2013,June,Canada Total,384903
2013,June,NWT & Yukon,350
2013,June,New Brunswick,308
2013,June,Nova Scotia,3747
2013,June,Ontario,347
2013,June,Saskatchewan,11566
2013,July,Alberta,273770
2013,July,British Columbia,106181
2013,July,Canada Total,396297
2013,July,NWT & Yukon,341
2013,July,New Brunswick,302
2013,July,Nova Scotia,3726
2013,July,Ontario,345
2013,July,Saskatchewan,11633
2013,August,Alberta,274622
2013,August,British Columbia,107937
2013,August,Canada Total,400821
2013,August,NWT & Yukon,366
2013,August,New Brunswick,301
2013,August,Nova Scotia,4979
2013,August,Ontario,368
2013,August,Saskatchewan,12248
2013,September,Alberta,269053
2013,September,British Columbia,107850
2013,September,Canada Total,397140
2013,September,NWT & Yukon,340
2013,September,New Brunswick,279
2013,September,Nova Scotia,6882
2013,September,Ontario,360
2013,September,Saskatchewan,12376
2013,October,Alberta,274058
2013,October,British Columbia,110559
2013,October,Canada Total,406731
2013,October,NWT & Yukon,353
2013,October,New Brunswick,297
2013,October,Nova Scotia,8766
2013,October,Ontario,348
2013,October,Saskatchewan,12349
2013,November,Alberta,273324
2013,November,British Columbia,111765
2013,November,Canada Total,403586
2013,November,NWT & Yukon,340
2013,November,New Brunswick,296
2013,November,Nova Scotia,5302
2013,November,Ontario,337
2013,November,Saskatchewan,12222
2013,December,Alberta,273041
2013,December,British Columbia,110581
2013,December,Canada Total,405145
2013,December,NWT & Yukon,322
2013,December,New Brunswick,288
2013,December,Nova Scotia,8883
2013,December,Ontario,332
2013,December,Saskatchewan,11699
2014,January,Alberta,278074
2014,January,British Columbia,110696
2014,January,Canada Total,413484
2014,January,NWT & Yukon,311
2014,January,New Brunswick,290
2014,January,Nova Scotia,11616
2014,January,Ontario,306
2014,January,Saskatchewan,12189
2014,February,Alberta,275646
2014,February,British Columbia,110277
2014,February,Canada Total,410548
2014,February,NWT & Yukon,287
2014,February,New Brunswick,288
2014,February,Nova Scotia,11962
2014,February,Ontario,268
2014,February,Saskatchewan,11821
2014,March,Alberta,281185
2014,March,British Columbia,110385
2014,March,Canada Total,414539
2014,March,NWT & Yukon,359
2014,March,New Brunswick,280
2014,March,Nova Scotia,10030
2014,March,Ontario,197
2014,March,Saskatchewan,12103
2014,April,Alberta,287437
2014,April,British Columbia,113711
2014,April,Canada Total,424900
2014,April,NWT & Yukon,317
2014,April,New Brunswick,276
2014,April,Nova Scotia,10323
2014,April,Ontario,207
2014,April,Saskatchewan,12630
2014,May,Alberta,278775
2014,May,British Columbia,111941
2014,May,Canada Total,414023
2014,May,NWT & Yukon,328
2014,May,New Brunswick,266
2014,May,Nova Scotia,9792
2014,May,Ontario,300
2014,May,Saskatchewan,12621
2014,June,Alberta,270933
2014,June,British Columbia,104506
2014,June,Canada Total,400673
2014,June,NWT & Yukon,320
2014,June,New Brunswick,270
2014,June,Nova Scotia,12354
2014,June,Ontario,300
2014,June,Saskatchewan,11991
2014,July,Alberta,283225
2014,July,British Columbia,108964
2014,July,Canada Total,416574
2014,July,NWT & Yukon,321
2014,July,New Brunswick,239
2014,July,Nova Scotia,11041
2014,July,Ontario,297
2014,July,Saskatchewan,12489
2014,August,Alberta,286199
2014,August,British Columbia,113941
2014,August,Canada Total,421338
2014,August,NWT & Yukon,315
2014,August,New Brunswick,251
2014,August,Nova Scotia,7953
2014,August,Ontario,335
2014,August,Saskatchewan,12343
2014,September,Alberta,275735
2014,September,British Columbia,111797
2014,September,Canada Total,405874
2014,September,NWT & Yukon,285
2014,September,New Brunswick,253
2014,September,Nova Scotia,4924
2014,September,Ontario,330
2014,September,Saskatchewan,12550
2014,October,Alberta,293729
2014,October,British Columbia,117927
2014,October,Canada Total,429621
2014,October,NWT & Yukon,268
2014,October,New Brunswick,253
2014,October,Nova Scotia,4547
2014,October,Ontario,342
2014,October,Saskatchewan,12555
2014,November,Alberta,291659
2014,November,British Columbia,119011
2014,November,Canada Total,430113
2014,November,NWT & Yukon,283
2014,November,New Brunswick,239
2014,November,Nova Scotia,6336
2014,November,Ontario,330
2014,November,Saskatchewan,12254
2014,December,Alberta,298504
2014,December,British Columbia,122377
2014,December,Canada Total,442573
2014,December,NWT & Yukon,329
2014,December,New Brunswick,265
2014,December,Nova Scotia,8533
2014,December,Ontario,335
2014,December,Saskatchewan,12229
2015,January,Alberta,295408
2015,January,British Columbia,120885
2015,January,Canada Total,439315
2015,January,NWT & Yukon,324
2015,January,New Brunswick,265
2015,January,Nova Scotia,9940
2015,January,Ontario,319
2015,January,Saskatchewan,12175
2015,February,Alberta,298653
2015,February,British Columbia,121823
2015,February,Canada Total,442096
2015,February,NWT & Yukon,248
2015,February,New Brunswick,254
2015,February,Nova Scotia,8365
2015,February,Ontario,300
2015,February,Saskatchewan,12453
2015,March,Alberta,298790
2015,March,British Columbia,120609
2015,March,Canada Total,441937
2015,March,NWT & Yukon,253
2015,March,New Brunswick,248
2015,March,Nova Scotia,9142
2015,March,Ontario,303
2015,March,Saskatchewan,12593
2015,April,Alberta,300517
2015,April,British Columbia,124041
2015,April,Canada Total,443864
2015,April,NWT & Yukon,256
2015,April,New Brunswick,243
2015,April,Nova Scotia,5995
2015,April,Ontario,310
2015,April,Saskatchewan,12501
2015,May,Alberta,288376
2015,May,British Columbia,121927
2015,May,Canada Total,427305
2015,May,NWT & Yukon,246
2015,May,New Brunswick,64
2015,May,Nova Scotia,4284
2015,May,Ontario,316
2015,May,Saskatchewan,12092
2015,June,Alberta,287967
2015,June,British Columbia,103710
2015,June,Canada Total,408664
2015,June,NWT & Yukon,240
2015,June,New Brunswick,62
2015,June,Nova Scotia,4129
2015,June,Ontario,313
2015,June,Saskatchewan,12242
2015,July,Alberta,287559
2015,July,British Columbia,113597
2015,July,Canada Total,416558
2015,July,NWT & Yukon,94
2015,July,New Brunswick,58
2015,July,Nova Scotia,2774
2015,July,Ontario,306
2015,July,Saskatchewan,12170
2015,August,Alberta,283256
2015,August,British Columbia,117086
2015,August,Canada Total,417231
2015,August,NWT & Yukon,225
2015,August,New Brunswick,61
2015,August,Nova Scotia,4164
2015,August,Ontario,300
2015,August,Saskatchewan,12140
2015,September,Alberta,285234
2015,September,British Columbia,110779
2015,September,Canada Total,411347
2015,September,NWT & Yukon,232
2015,September,New Brunswick,67
2015,September,Nova Scotia,2892
2015,September,Ontario,330
2015,September,Saskatchewan,11813
2015,October,Alberta,292197
2015,October,British Columbia,119282
2015,October,Canada Total,427626
2015,October,NWT & Yukon,233
2015,October,New Brunswick,81
2015,October,Nova Scotia,3246
2015,October,Ontario,297
2015,October,Saskatchewan,12291
2015,November,Alberta,293714
2015,November,British Columbia,123829
2015,November,Canada Total,435701
2015,November,NWT & Yukon,208
2015,November,New Brunswick,261
2015,November,Nova Scotia,5014
2015,November,Ontario,297
2015,November,Saskatchewan,12378
2015,December,Alberta,299418
2015,December,British Columbia,127182
2015,December,Canada Total,445178
2015,December,NWT & Yukon,217
2015,December,New Brunswick,210
2015,December,Nova Scotia,5830
2015,December,Ontario,294
2015,December,Saskatchewan,12028
2016,January,Alberta,298515
2016,January,British Columbia,131501
2016,January,Canada Total,448461
2016,January,NWT & Yukon,229
2016,January,New Brunswick,362
2016,January,Nova Scotia,5803
2016,January,Ontario,203
2016,January,Saskatchewan,11847
2016,February,Alberta,305833
2016,February,British Columbia,133517
2016,February,Canada Total,458347
2016,February,NWT & Yukon,203
2016,February,New Brunswick,302
2016,February,Nova Scotia,6160
2016,February,Ontario,202
2016,February,Saskatchewan,12129
2016,March,Alberta,302324
2016,March,British Columbia,132430
2016,March,Canada Total,452720
2016,March,NWT & Yukon,201
2016,March,New Brunswick,212
2016,March,Nova Scotia,5294
2016,March,Ontario,202
2016,March,Saskatchewan,12056
2016,April,Alberta,296268
2016,April,British Columbia,127873
2016,April,Canada Total,440639
2016,April,NWT & Yukon,251
2016,April,New Brunswick,275
2016,April,Nova Scotia,3846
2016,April,Ontario,201
2016,April,Saskatchewan,11924
2016,May,Alberta,283872
2016,May,British Columbia,126839
2016,May,Canada Total,426861
2016,May,NWT & Yukon,238
2016,May,New Brunswick,248
2016,May,Nova Scotia,3708
2016,May,Ontario,202
2016,May,Saskatchewan,11754
2016,June,Alberta,280411
2016,June,British Columbia,121555
2016,June,Canada Total,418471
2016,June,NWT & Yukon,250
2016,June,New Brunswick,248
2016,June,Nova Scotia,4337
2016,June,Ontario,202
2016,June,Saskatchewan,11467
2016,July,Alberta,283648
2016,July,British Columbia,120386
2016,July,Canada Total,421262
2016,July,NWT & Yukon,235
2016,July,New Brunswick,244
2016,July,Nova Scotia,5328
2016,July,Ontario,202
2016,July,Saskatchewan,11219
2016,August,Alberta,288434
2016,August,British Columbia,123514
2016,August,Canada Total,429612
2016,August,NWT & Yukon,235
2016,August,New Brunswick,238
2016,August,Nova Scotia,5590
2016,August,Ontario,200
2016,August,Saskatchewan,11399
2016,September,Alberta,286934
2016,September,British Columbia,116295
2016,September,Canada Total,418487
2016,September,NWT & Yukon,227
2016,September,New Brunswick,78
2016,September,Nova Scotia,3443
2016,September,Ontario,201
2016,September,Saskatchewan,11308
2016,October,Alberta,281885
2016,October,British Columbia,123412
2016,October,Canada Total,421274
2016,October,NWT & Yukon,210
2016,October,New Brunswick,47
2016,October,Nova Scotia,3996
2016,October,Ontario,203
2016,October,Saskatchewan,11521
2016,November,Alberta,288246
2016,November,British Columbia,125107
2016,November,Canada Total,430231
2016,November,NWT & Yukon,198
2016,November,New Brunswick,74
2016,November,Nova Scotia,4714
2016,November,Ontario,208
2016,November,Saskatchewan,11683
2016,December,Alberta,288023
2016,December,British Columbia,131259
2016,December,Canada Total,436688
2016,December,NWT & Yukon,185
2016,December,New Brunswick,218
2016,December,Nova Scotia,5713
2016,December,Ontario,201
2016,December,Saskatchewan,11090
2017,January,Alberta,293027
2017,January,British Columbia,134679
2017,January,Canada Total,444759
2017,January,NWT & Yukon,87
2017,January,New Brunswick,283
2017,January,Nova Scotia,5430
2017,January,Ontario,200
2017,January,Saskatchewan,11052
2017,February,Alberta,292783
2017,February,British Columbia,131349
2017,February,Canada Total,440875
2017,February,NWT & Yukon,75
2017,February,New Brunswick,264
2017,February,Nova Scotia,4727
2017,February,Ontario,222
2017,February,Saskatchewan,11456
2017,March,Alberta,299322
2017,March,British Columbia,129045
2017,March,Canada Total,444972
